England,16,517
England,14,505
England,15,490
England,12,451
England,07,449
England,17,448
England,22,447
England,20,409
England,06,408
England,02,407
England,04,406
England,10,395
England,23,388
England,18,386
England,01,385
England,19,385
England,00,381
England,21,375
England,03,367
England,13,365
England,05,352
England,08,342
England,11,316
England,09,301
France,16,456
France,03,384
France,07,359
France,20,355
France,06,349
France,02,343
France,18,342
France,23,341
France,01,340
France,00,339
France,08,328
France,17,328
France,11,319
France,15,315
France,14,285
France,09,267
France,10,264
France,05,263
France,12,258
France,04,248
France,19,246
France,22,246
France,21,245
France,13,240
Germany,16,455
Germany,11,452
Germany,09,439
Germany,08,427
Germany,21,411
Germany,07,401
Germany,12,398
Germany,05,391
Germany,20,388
Germany,06,384
Germany,18,376
Germany,13,376
Germany,23,376
Germany,01,374
Germany,03,371
Germany,19,357
Germany,00,348
Germany,04,348
Germany,14,343
Germany,17,330
Germany,10,317
Germany,22,311
Germany,15,306
Germany,02,286
Italy,23,384
Italy,16,377
Italy,14,353
Italy,15,328
Italy,20,322
Italy,05,314
Italy,10,304
Italy,00,296
Italy,22,295
Italy,06,292
Italy,11,282
Italy,17,282
Italy,18,279
Italy,02,273
Italy,01,269
Italy,08,262
Italy,09,260
Italy,07,256
Italy,19,255
Italy,13,254
Italy,04,248
Italy,12,235
Italy,21,235
Italy,03,225
Japan,01,351
Japan,14,332
Japan,23,331
Japan,15,290
Japan,13,290
Japan,04,287
Japan,19,282
Japan,16,274
Japan,18,269
Japan,20,262
Japan,02,255
Japan,07,254
Japan,03,250
Japan,00,243
Japan,22,242
Japan,11,238
Japan,17,229
Japan,09,226
Japan,05,225
Japan,06,219
Japan,12,213
Japan,08,207
Japan,21,199
Japan,10,168
Mexico,11,517
Mexico,17,511
Mexico,21,508
Mexico,20,483
Mexico,23,472
Mexico,04,450
Mexico,07,449
Mexico,10,444
Mexico,08,431
Mexico,13,427
Mexico,19,424
Mexico,22,421
Mexico,18,418
Mexico,06,400
Mexico,15,400
Mexico,16,394
Mexico,14,382
Mexico,09,368
Mexico,01,364
Mexico,02,364
Mexico,00,359
Mexico,12,353
Mexico,03,328
Mexico,05,316
Nigeria,03,453
Nigeria,19,448
Nigeria,05,437
Nigeria,17,437
Nigeria,09,416
Nigeria,21,415
Nigeria,20,413
Nigeria,11,403
Nigeria,04,399
Nigeria,00,398
Nigeria,10,393
Nigeria,13,393
Nigeria,02,387
Nigeria,01,385
Nigeria,08,384
Nigeria,15,383
Nigeria,06,375
Nigeria,12,360
Nigeria,07,350
Nigeria,22,344
Nigeria,16,336
Nigeria,18,330
Nigeria,23,300
Nigeria,14,296
Portugal,21,472
Portugal,14,419
Portugal,01,417
Portugal,06,395
Portugal,10,395
Portugal,16,391
Portugal,12,389
Portugal,23,382
Portugal,19,378
Portugal,03,374
Portugal,04,373
Portugal,07,366
Portugal,20,350
Portugal,18,347
Portugal,22,345
Portugal,17,338
Portugal,08,332
Portugal,09,330
Portugal,13,327
Portugal,02,316
Portugal,05,311
Portugal,15,294
Portugal,00,290
Portugal,11,272
Spain,18,357
Spain,13,346
Spain,21,331
Spain,17,329
Spain,22,328
Spain,03,321
Spain,12,309
Spain,15,301
Spain,09,296
Spain,06,296
Spain,05,295
Spain,01,287
Spain,16,284
Spain,02,273
Spain,14,263
Spain,07,258
Spain,10,257
Spain,00,254
Spain,08,253
Spain,23,250
Spain,04,238
Spain,20,221
Spain,11,216
Spain,19,186
United States,04,397
United States,05,375
United States,07,361
United States,15,336
United States,14,334
United States,22,334
United States,10,331
United States,13,326
United States,18,324
United States,12,322
United States,06,317
United States,01,303
United States,09,303
United States,16,299
United States,00,291
United States,11,290
United States,03,281
United States,17,280
United States,19,264
United States,21,247
United States,02,247
United States,23,244
United States,08,244
United States,20,228
